## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=qc_plots/Ct-1h.inserts.hist_graph.pdf HISTOGRAM_WIDTH=1000 INPUT=/srv/scratch/shared/nandi/projects/training-camp-2016/run/Ct-1h/out/align/rep1/Ct-1h_S5_L001_R1_001.trim.PE2SE.nodup.bam OUTPUT=qc_plots/Ct-1h.inserts.hist_data.log STOP_AFTER=5000000 VERBOSITY=ERROR QUIET=true    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Aug 29 10:11:11 PDT 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
136	70	26	1386	177.472704	132.556144	74761	FR	33	65	91	117	141	163	185	261	457	977			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
26	1
27	7
28	8
29	24
30	30
31	9
32	10
33	11
34	27
35	36
36	107
37	151
38	187
39	254
40	449
41	487
42	344
43	371
44	400
45	457
46	472
47	468
48	460
49	470
50	646
51	612
52	547
53	463
54	480
55	499
56	486
57	512
58	513
59	512
60	530
61	577
62	515
63	495
64	469
65	533
66	540
67	509
68	515
69	491
70	460
71	488
72	472
73	449
74	2
75	5
76	445
77	482
78	446
79	427
80	418
81	422
82	421
83	441
84	424
85	433
86	450
87	409
88	406
89	393
90	388
91	363
92	356
93	367
94	382
95	395
96	390
97	361
98	352
99	366
100	350
101	327
102	322
103	350
104	327
105	324
106	331
107	329
108	315
109	311
110	286
111	296
112	325
113	281
114	306
115	281
116	286
117	295
118	287
119	249
120	241
121	248
122	252
123	248
124	266
125	252
126	228
127	240
128	247
129	241
130	221
131	255
132	237
133	220
134	256
135	232
136	204
137	221
138	240
139	237
140	216
141	210
142	200
143	187
144	174
145	177
146	184
147	215
148	208
149	224
150	234
151	235
152	236
153	217
154	201
155	197
156	207
157	147
158	206
159	201
160	193
161	208
162	180
163	171
164	184
165	172
166	188
167	173
168	206
169	195
170	198
171	194
172	165
173	203
174	184
175	177
176	193
177	218
178	203
179	189
180	183
181	183
182	192
183	156
184	141
185	173
186	184
187	188
188	196
189	186
190	175
191	200
192	186
193	191
194	206
195	191
196	191
197	212
198	198
199	187
200	200
201	185
202	174
203	186
204	187
205	189
206	174
207	190
208	173
209	193
210	196
211	146
212	186
213	179
214	183
215	185
216	162
217	161
218	159
219	187
220	194
221	172
222	171
223	186
224	153
225	158
226	155
227	159
228	152
229	154
230	163
231	151
232	154
233	145
234	155
235	161
236	172
237	163
238	157
239	130
240	149
241	133
242	120
243	140
244	134
245	117
246	130
247	133
248	141
249	108
250	140
251	115
252	113
253	125
254	118
255	126
256	119
257	106
258	112
259	116
260	121
261	122
262	86
263	106
264	95
265	112
266	101
267	111
268	109
269	107
270	85
271	93
272	108
273	96
274	95
275	96
276	71
277	92
278	93
279	75
280	103
281	83
282	73
283	68
284	98
285	67
286	87
287	84
288	71
289	82
290	83
291	76
292	76
293	84
294	92
295	82
296	73
297	78
298	86
299	86
300	66
301	83
302	83
303	76
304	79
305	63
306	79
307	68
308	83
309	69
310	77
311	68
312	83
313	79
314	98
315	84
316	69
317	77
318	87
319	70
320	65
321	63
322	61
323	63
324	67
325	83
326	53
327	73
328	59
329	71
330	66
331	61
332	82
333	70
334	59
335	83
336	80
337	72
338	65
339	62
340	64
341	65
342	71
343	58
344	70
