## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=qc_plots/DMSO-1h.inserts.hist_graph.pdf HISTOGRAM_WIDTH=1000 INPUT=/srv/scratch/shared/nandi/projects/training-camp-2016/run/DMSO-1h/out/align/rep1/DMSO-1h_S6_L001_R1_001.trim.PE2SE.nodup.bam OUTPUT=qc_plots/DMSO-1h.inserts.hist_data.log STOP_AFTER=5000000 VERBOSITY=ERROR QUIET=true    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Aug 29 10:10:55 PDT 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
149	76	26	1118	187.576018	135.762997	64592	FR	37	71	99	127	153	177	203	269	459	975			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
26	3
27	9
28	12
29	15
30	20
31	2
32	6
33	10
34	19
35	40
36	63
37	89
38	125
39	175
40	298
41	330
42	253
43	240
44	283
45	325
46	363
47	343
48	324
49	345
50	446
51	428
52	399
53	365
54	393
55	429
56	418
57	367
58	375
59	415
60	412
61	410
62	412
63	402
64	355
65	412
66	431
67	463
68	418
69	405
70	385
71	374
72	391
73	375
74	6
75	4
76	343
77	387
78	357
79	364
80	293
81	369
82	368
83	376
84	309
85	339
86	327
87	330
88	335
89	318
90	306
91	302
92	316
93	315
94	306
95	334
96	315
97	316
98	289
99	295
100	328
101	284
102	291
103	295
104	297
105	274
106	294
107	302
108	273
109	252
110	275
111	227
112	250
113	235
114	224
115	244
116	230
117	247
118	249
119	231
120	223
121	221
122	193
123	205
124	187
125	208
126	187
127	197
128	216
129	192
130	211
131	202
132	187
133	174
134	174
135	173
136	217
137	237
138	219
139	202
140	208
141	162
142	186
143	162
144	179
145	179
146	170
147	175
148	168
149	193
150	202
151	223
152	212
153	186
154	167
155	149
156	163
157	155
158	159
159	155
160	157
161	181
162	164
163	171
164	165
165	188
166	144
167	169
168	198
169	188
170	173
171	152
172	153
173	150
174	131
175	178
176	146
177	178
178	188
179	179
180	197
181	160
182	153
183	143
184	158
185	167
186	171
187	159
188	174
189	167
190	157
191	155
192	191
193	195
194	174
195	184
196	189
197	154
198	188
199	154
200	198
201	186
202	169
203	163
204	176
205	168
206	159
207	203
208	203
209	175
210	148
211	148
212	191
213	166
214	170
215	136
216	169
217	177
218	161
219	169
220	160
221	154
222	161
223	169
224	153
225	148
226	136
227	160
228	167
229	151
230	137
231	167
232	115
233	128
234	117
235	130
236	119
237	131
238	125
239	135
240	110
241	138
242	114
243	132
244	117
245	120
246	117
247	130
248	108
249	104
250	112
251	116
252	119
253	116
254	112
255	103
256	102
257	95
258	107
259	104
260	77
261	105
262	96
263	113
264	93
265	115
266	78
267	104
268	98
269	94
270	87
271	84
272	84
273	109
274	87
275	85
276	90
277	93
278	81
279	73
280	82
281	74
282	96
283	94
284	88
285	78
286	67
287	82
288	70
289	77
290	75
291	78
292	71
293	87
294	71
295	83
296	67
297	60
298	75
299	74
300	81
301	64
302	81
303	74
304	67
305	80
306	68
307	69
308	64
309	70
310	79
311	68
312	91
313	69
314	71
315	68
316	65
317	66
318	69
319	71
320	75
321	55
322	65
323	76
324	66
325	75
326	70
327	70
328	83
329	60
330	74
331	66
332	71
333	70
334	74
335	75
336	64
337	65
338	62
339	62
340	66
341	68
342	80
343	75
344	57
345	61
346	72
347	83
348	62
349	69
350	76
351	62
352	69
353	59
354	59
355	58
356	69
357	52
358	56
359	52
360	51
361	60
362	74
363	66
364	53
365	60
366	51
367	67
368	57
369	63
370	57
371	65
372	58
373	62
374	53
375	50
376	61
377	57
378	67
379	62
380	51
381	64
382	48
383	64
384	44
385	56
386	43
387	48
388	50
389	39
390	52
391	55
392	48
393	32
394	45
395	44
396	42
397	59
398	49
399	48
400	32
401	55
402	48
403	42
404	46
405	45
406	35
407	43
408	37
409	40
410	41
411	37
412	44
413	41
414	39
415	38
416	40
417	44
418	38
419	39
420	36
421	46
422	39
423	33
424	29
425	32
426	41
427	40
428	24
429	25
430	36
431	39
432	37
433	36
434	26
435	26
436	22
437	31
438	29
439	31
440	26
441	25
442	33
443	33
444	26
445	30
446	33
447	24
448	35
449	23
450	30
451	26
452	41
453	26
454	21
455	38
456	33
457	27
458	24
459	34
460	29
461	30
462	27
463	25
464	26
465	26
466	28
467	23
468	18
469	26
470	30
471	26
472	24
473	35
474	16
475	21
476	28
477	21
478	21
479	18
480	31
481	16
482	20
483	33
484	31
485	22
486	27
487	27
488	19
489	22
490	14
491	24
492	22
493	14
494	22
495	20
496	22
497	20
498	16
499	18
500	19
501	23
502	22
503	22
504	25
505	23
506	15
507	15
508	20
509	20
510	25
511	29
512	29
513	23
514	14
