## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=qc_plots/Kz-3h.inserts.hist_graph.pdf HISTOGRAM_WIDTH=1000 INPUT=/srv/scratch/shared/nandi/projects/training-camp-2016/run/Kz-3h/out/align/rep1/Kz-3h_S8_L001_R1_001.trim.PE2SE.nodup.bam OUTPUT=qc_plots/Kz-3h.inserts.hist_data.log STOP_AFTER=5000000 VERBOSITY=ERROR QUIET=true    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Aug 29 10:11:30 PDT 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
125	68	23	1692	177.14526	147.052543	164883	FR	33	63	89	117	137	155	177	293	519	1141			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
23	1
25	1
26	23
27	27
28	51
29	106
30	193
31	41
32	37
33	52
34	82
35	165
36	340
37	503
38	616
39	888
40	1564
41	1590
42	1099
43	1131
44	1292
45	1406
46	1404
47	1393
48	1349
49	1373
50	1698
51	1668
52	1512
53	1313
54	1353
55	1396
56	1347
57	1317
58	1328
59	1214
60	1267
61	1319
62	1272
63	1183
64	1117
65	1203
66	1115
67	1169
68	1121
69	1054
70	1058
71	1065
72	1068
73	1037
74	6
75	5
76	1008
77	965
78	967
79	909
80	944
81	922
82	908
83	884
84	857
85	899
86	824
87	839
88	898
89	859
90	808
91	842
92	756
93	745
94	769
95	818
96	747
97	729
98	730
99	779
100	706
101	738
102	665
103	660
104	694
105	662
106	644
107	658
108	676
109	587
110	625
111	618
112	560
113	581
114	619
115	569
116	591
117	537
118	572
119	483
120	534
121	554
122	508
123	487
124	534
125	496
126	531
127	490
128	506
129	489
130	502
131	450
132	493
133	430
134	413
135	447
136	433
137	458
138	485
139	496
140	391
141	462
142	426
143	397
144	393
145	382
146	386
147	385
148	383
149	439
150	469
151	458
152	428
153	436
154	380
155	391
156	377
157	353
158	376
159	393
160	374
161	402
162	339
163	352
164	357
165	362
166	341
167	347
168	383
169	366
170	398
171	366
172	370
173	349
174	355
175	399
176	388
177	403
178	373
179	365
180	390
181	384
182	320
183	330
184	339
185	386
186	376
187	373
188	379
189	340
190	372
191	359
192	370
193	350
194	358
195	357
196	402
197	362
198	324
199	343
200	386
201	348
202	337
203	367
204	336
205	348
206	374
207	352
208	352
209	342
210	310
211	393
212	345
213	320
214	311
215	343
216	297
217	328
218	336
219	293
220	314
221	335
222	302
223	323
224	269
225	306
226	321
227	318
228	304
229	307
230	275
231	288
232	289
233	281
234	273
235	280
236	300
237	277
238	267
239	274
