## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=qc_plots/Mz-1h.inserts.hist_graph.pdf HISTOGRAM_WIDTH=1000 INPUT=/srv/scratch/shared/nandi/projects/training-camp-2016/run/Mz-1h/out/align/rep1/Mz-1h_S3_L001_R1_001.trim.PE2SE.nodup.bam OUTPUT=qc_plots/Mz-1h.inserts.hist_data.log STOP_AFTER=5000000 VERBOSITY=ERROR QUIET=true    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Aug 29 10:11:49 PDT 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
135	72	26	1163	179.022226	138.127548	110833	FR	35	67	95	119	145	167	187	271	479	1027			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
26	11
27	19
28	24
29	63
30	66
31	20
32	25
33	24
34	49
35	119
36	240
37	324
38	402
39	510
40	752
41	747
42	623
43	684
44	690
45	776
46	817
47	797
48	740
49	804
50	914
51	990
52	859
53	722
54	723
55	872
56	809
57	792
58	819
59	774
60	767
61	821
62	749
63	747
64	740
65	752
66	791
67	765
68	722
69	711
70	659
71	654
72	682
73	654
74	4
75	3
76	646
77	672
78	680
79	651
80	602
81	638
82	577
83	605
84	591
85	579
86	590
87	564
88	520
89	556
90	551
91	559
92	563
93	481
94	529
95	538
96	501
97	536
98	532
99	477
100	481
101	460
102	434
103	490
104	455
105	466
106	474
107	434
108	446
109	454
110	434
111	402
112	390
113	412
114	406
115	398
116	366
117	363
118	367
119	388
120	353
121	356
122	353
123	354
124	316
125	365
126	376
127	350
128	342
129	344
130	320
131	360
132	323
133	339
134	288
135	328
136	316
137	345
138	316
139	302
140	308
141	294
142	291
143	244
144	280
145	238
146	282
147	298
148	306
149	272
150	321
151	368
152	363
153	311
154	263
155	258
156	255
157	252
158	225
159	280
160	230
161	295
162	277
163	238
164	256
165	219
166	296
167	288
168	314
169	307
170	262
171	316
172	272
173	272
174	250
175	271
176	297
177	322
178	301
179	286
180	298
181	292
182	266
183	268
184	236
185	243
186	287
187	295
188	239
189	277
190	278
191	251
192	255
193	293
194	296
195	332
196	270
197	287
198	307
199	266
200	263
201	300
202	265
203	265
204	298
205	251
206	277
207	255
208	286
209	288
210	265
211	253
212	296
213	265
214	245
215	261
216	304
217	276
218	242
219	246
220	243
221	263
222	237
223	253
224	246
225	238
226	231
227	215
228	218
229	249
230	237
231	228
232	187
233	246
234	227
235	212
236	214
237	201
238	196
239	195
240	222
241	182
242	190
243	180
244	183
245	181
246	173
247	195
248	176
249	164
250	180
251	178
252	151
253	165
254	153
255	154
256	159
257	136
258	166
259	158
260	143
261	171
262	165
263	153
264	158
265	161
266	144
267	153
268	146
269	140
270	160
271	134
272	132
273	137
274	121
275	118
276	133
277	121
278	119
279	134
280	112
281	132
282	131
283	112
284	117
285	112
286	130
287	124
288	118
289	116
290	126
291	120
292	107
293	111
294	121
295	126
296	105
297	113
298	116
299	111
300	117
301	106
302	130
303	107
304	105
305	96
306	97
307	110
308	96
309	111
310	123
311	122
312	101
313	113
314	121
315	92
316	124
317	92
318	97
319	89
320	105
321	103
322	133
323	107
324	95
325	113
326	123
327	97
328	100
329	90
330	100
331	84
332	102
333	92
334	125
335	100
336	102
337	102
338	102
339	95
340	86
341	105
342	114
343	104
344	104
345	111
346	93
347	95
348	113
349	82
350	100
351	99
352	91
353	108
354	100
355	118
356	100
357	102
358	103
359	110
360	81
361	100
362	90
363	98
364	99
365	93
366	73
367	100
368	91
369	93
370	102
371	78
372	77
373	76
374	81
375	87
376	71
377	92
378	78
379	93
380	109
381	71
382	87
383	83
384	80
385	84
386	83
387	77
388	80
389	89
390	70
391	57
392	64
393	76
394	83
395	83
396	85
397	67
398	85
399	59
400	77
401	72
402	70
403	73
404	75
405	74
406	70
407	58
408	73
409	70
410	59
411	57
412	68
413	64
414	51
415	66
416	63
417	54
418	50
419	62
420	56
421	51
422	46
423	66
424	57
425	60
426	54
427	45
428	51
429	43
430	63
431	59
432	57
433	55
434	56
