## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=vplots/Ct-3h.inserts.hist_graph.pdf HISTOGRAM_WIDTH=1000 INPUT=/srv/scratch/shared/nandi/projects/training-camp-2016/run/Ct-3h/out/align/rep1/Ct-3h_S12_L001_R1_001.trim.PE2SE.nodup.bam OUTPUT=vplots/Ct-3h.inserts.hist_data.log STOP_AFTER=5000000 VERBOSITY=ERROR QUIET=true    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Aug 29 10:09:03 PDT 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
124	67	25	1799	177.429944	148.267134	184868	FR	31	61	87	113	135	153	175	293	517	1169			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
25	1
26	26
27	39
28	50
29	105
30	162
31	53
32	46
33	51
34	86
35	171
36	348
37	510
38	671
39	996
40	1616
41	1665
42	1216
43	1280
44	1397
45	1563
46	1567
47	1511
48	1478
49	1549
50	1868
51	1925
52	1651
53	1416
54	1415
55	1495
56	1453
57	1401
58	1393
59	1429
60	1404
61	1475
62	1376
63	1369
64	1343
65	1246
66	1287
67	1300
68	1260
69	1253
70	1209
71	1247
72	1189
73	1112
74	7
75	10
76	1167
77	1196
78	1152
79	1054
80	1078
81	1048
82	1103
83	1016
84	1010
85	982
86	1020
87	943
88	974
89	947
90	948
91	882
92	915
93	918
94	859
95	931
96	875
97	791
98	827
99	826
100	812
101	828
102	763
103	723
104	756
105	751
106	773
107	781
108	726
109	722
110	701
111	664
112	717
113	718
114	652
115	701
116	710
117	665
118	638
119	582
120	580
121	575
122	603
123	590
124	583
125	575
126	547
127	562
128	581
129	565
130	580
131	561
132	519
133	459
134	526
135	494
136	489
137	532
138	585
139	526
140	493
141	491
142	457
143	427
144	419
145	454
146	440
147	469
148	476
149	443
150	510
151	541
152	484
153	468
154	472
155	418
156	396
157	434
158	445
159	441
160	447
161	405
162	438
163	399
164	385
165	439
166	442
167	387
168	458
169	406
170	470
171	418
172	399
173	384
174	353
175	454
176	438
177	477
178	437
179	448
180	407
181	434
182	411
183	382
184	358
185	396
186	392
187	422
188	402
189	400
190	417
191	411
192	409
193	396
194	367
195	417
196	389
197	415
198	420
199	382
200	403
201	378
202	371
203	389
204	365
205	401
206	414
207	383
208	398
209	400
210	421
211	376
212	382
213	374
214	361
215	391
216	367
217	389
218	365
219	357
220	377
221	346
222	351
223	341
224	316
225	329
226	357
227	310
228	325
229	319
230	308
231	310
232	296
233	301
234	322
235	289
236	277
237	305
