## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=vplots/Cu-3h.inserts.hist_graph.pdf HISTOGRAM_WIDTH=1000 INPUT=/srv/scratch/shared/nandi/projects/training-camp-2016/run/Cu-3h/out/align/rep1/Cu-3h_S11_L001_R1_001.trim.PE2SE.nodup.bam OUTPUT=vplots/Cu-3h.inserts.hist_data.log STOP_AFTER=5000000 VERBOSITY=ERROR QUIET=true    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Aug 29 10:09:14 PDT 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
119	66	22	1387	174.811842	150.852187	203838	FR	33	63	91	115	133	149	175	299	535	1185			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
22	1
25	1
26	26
27	46
28	74
29	229
30	379
31	100
32	51
33	73
34	129
35	228
36	471
37	647
38	869
39	1475
40	2787
41	2510
42	1560
43	1362
44	1666
45	1925
46	1959
47	1792
48	1752
49	1971
50	2572
51	2669
52	2022
53	1670
54	1705
55	1734
56	1750
57	1695
58	1584
59	1592
60	1733
61	1870
62	1725
63	1552
64	1445
65	1393
66	1415
67	1463
68	1371
69	1293
70	1335
71	1335
72	1350
73	1186
74	6
75	14
76	1249
77	1171
78	1139
79	1136
80	1080
81	1121
82	1165
83	1101
84	1081
85	1060
86	1009
87	1006
88	952
89	938
90	955
91	916
92	919
93	935
94	937
95	911
96	855
97	831
98	833
99	865
100	817
101	812
102	823
103	799
104	775
105	830
106	764
107	726
108	780
109	749
110	686
111	704
112	684
113	695
114	686
115	695
116	657
117	614
118	667
119	598
120	572
121	564
122	588
123	596
124	594
125	575
126	607
127	550
128	569
129	584
130	539
131	550
132	550
133	498
134	439
135	514
136	498
137	556
138	594
139	550
140	530
141	498
142	477
143	489
144	443
145	420
146	432
147	462
148	489
149	497
150	513
151	543
152	533
153	481
154	431
155	409
156	422
157	431
158	447
159	472
160	459
161	459
162	438
163	404
164	448
165	420
166	449
167	450
168	442
169	475
170	460
171	440
172	447
173	408
174	408
175	463
176	446
177	484
178	504
179	441
180	451
181	473
182	425
183	461
184	410
185	442
186	448
187	470
188	470
189	461
190	482
191	428
192	416
193	446
194	394
195	422
196	494
197	435
198	430
199	433
200	427
201	414
202	405
203	440
204	456
205	435
206	453
207	455
208	433
209	392
210	456
211	417
212	404
213	394
214	419
215	387
216	352
217	379
218	371
219	395
220	398
221	403
222	371
223	419
224	360
225	374
226	367
227	381
228	366
229	384
230	312
231	348
232	332
233	315
234	327
235	315
236	340
237	295
238	295
239	310
240	315
241	278
242	316
243	283
244	271
245	302
246	285
247	282
248	277
249	310
250	266
251	267
252	263
253	249
254	258
255	246
256	252
257	235
258	255
259	231
260	216
261	230
262	225
263	212
264	221
265	199
266	196
267	202
268	201
269	214
270	231
271	204
272	212
273	196
274	198
275	212
276	208
277	194
278	180
279	224
280	202
281	183
282	177
283	180
284	185
285	202
286	192
287	198
288	196
289	191
290	191
291	195
292	202
293	185
294	168
295	180
296	192
297	181
298	180
299	185
300	197
301	182
302	168
303	179
304	169
305	162
306	181
307	165
308	165
309	181
310	161
311	200
312	183
313	189
314	178
315	144
316	159
317	158
318	153
319	170
320	194
321	185
322	171
323	166
324	184
325	172
326	187
327	149
328	167
329	157
330	165
331	182
332	179
333	184
334	173
335	170
336	176
337	193
338	160
339	168
340	177
341	169
342	178
343	163
344	181
345	166
346	171
347	164
348	156
349	153
350	170
351	166
352	166
353	166
354	162
355	181
356	161
357	148
358	166
359	137
360	142
361	133
362	144
363	164
364	160
365	171
366	137
367	150
368	151
369	154
370	158
371	155
372	144
373	121
374	164
375	148
376	165
377	132
378	127
379	140
380	143
381	124
382	147
383	147
384	153
385	148
386	135
387	124
388	126
389	119
390	117
391	114
392	145
393	128
394	109
395	112
396	100
397	124
398	117
399	124
400	113
401	129
402	120
403	139
404	90
405	105
406	112
407	123
408	132
409	134
410	103
411	113
412	101
413	111
414	106
415	112
416	115
417	115
418	103
419	91
420	84
421	103
422	97
423	87
424	114
425	102
426	109
427	83
428	79
429	78
430	86
431	85
432	91
433	79
434	95
435	92
436	100
437	88
438	98
439	73
440	79
441	67
442	84
443	82
444	90
445	77
446	86
447	88
448	92
449	98
450	98
451	67
452	112
453	75
454	75
