## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=vplots/Cz-3h.inserts.hist_graph.pdf HISTOGRAM_WIDTH=1000 INPUT=/srv/scratch/shared/nandi/projects/training-camp-2016/run/Cz-3h/out/align/rep1/Cz-3h_S9_L001_R1_001.trim.PE2SE.nodup.bam OUTPUT=vplots/Cz-3h.inserts.hist_data.log STOP_AFTER=5000000 VERBOSITY=ERROR QUIET=true    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Aug 29 10:09:20 PDT 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
132	73	26	1995	187.716651	157.304592	210703	FR	37	69	97	125	147	165	187	317	555	1223			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
26	18
27	37
28	49
29	100
30	176
31	47
32	52
33	60
34	86
35	161
36	360
37	497
38	654
39	922
40	1591
41	1547
42	1272
43	1273
44	1472
45	1687
46	1746
47	1703
48	1580
49	1734
50	1976
51	2101
52	1757
53	1535
54	1655
55	1600
56	1698
57	1634
58	1618
59	1563
60	1581
61	1612
62	1503
63	1447
64	1430
65	1456
66	1424
67	1410
68	1509
69	1313
70	1314
71	1313
72	1314
73	1265
74	4
75	7
76	1256
77	1228
78	1240
79	1208
80	1185
81	1149
82	1132
83	1125
84	1140
85	1151
86	1069
87	1061
88	1026
89	1031
90	908
91	991
92	974
93	978
94	999
95	964
96	981
97	1018
98	958
99	946
100	907
101	881
102	795
103	860
104	770
105	783
106	900
107	852
108	842
109	818
110	720
111	755
112	759
113	743
114	745
115	691
116	687
117	735
118	705
119	682
120	662
121	656
122	652
123	659
124	658
125	615
126	678
127	620
128	627
129	629
130	603
131	582
132	588
133	566
134	597
135	531
136	580
137	599
138	606
139	576
140	542
141	516
142	536
143	463
144	502
145	515
146	491
147	557
148	542
149	484
150	557
151	607
152	614
153	520
154	483
155	423
156	457
157	446
158	507
159	518
160	504
161	451
162	481
163	468
164	495
165	447
166	468
167	528
168	510
169	514
170	464
171	524
172	488
173	481
174	469
175	495
176	492
177	487
178	512
179	489
180	465
181	528
182	472
183	459
184	458
185	467
186	469
187	470
188	491
189	473
190	425
191	508
192	487
193	422
194	455
195	482
196	468
197	465
198	481
199	482
200	485
201	473
202	422
203	470
204	480
205	432
206	443
207	400
208	455
209	429
210	473
211	464
212	477
213	433
214	430
215	479
216	418
217	427
218	417
219	428
220	431
221	392
222	376
223	407
224	387
225	389
226	383
227	396
228	390
229	384
230	345
231	386
232	345
233	329
234	328
235	388
236	376
