## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=vplots/Kz-1h.inserts.hist_graph.pdf HISTOGRAM_WIDTH=1000 INPUT=/srv/scratch/shared/nandi/projects/training-camp-2016/run/Kz-1h/out/align/rep1/Kz-1h_S1_L001_R1_001.trim.PE2SE.nodup.bam OUTPUT=vplots/Kz-1h.inserts.hist_data.log STOP_AFTER=5000000 VERBOSITY=ERROR QUIET=true    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Aug 29 10:09:08 PDT 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
145	73	26	903	177.977394	119.798418	30169	FR	37	67	95	119	147	169	193	245	417	803			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
26	2
27	4
28	2
29	11
30	7
31	4
32	1
33	1
34	3
35	20
36	37
37	45
38	64
39	93
40	141
41	138
42	112
43	123
44	128
45	148
46	141
47	122
48	124
49	164
50	199
51	237
52	191
53	147
54	171
55	196
56	183
57	193
58	181
59	182
60	176
61	220
62	197
63	192
64	188
65	180
66	181
67	175
68	191
69	182
70	180
71	174
72	191
73	186
74	5
76	177
77	159
78	204
79	164
80	168
81	157
82	169
83	187
84	174
85	174
86	185
87	167
88	155
89	148
90	145
91	154
92	156
93	162
94	154
95	163
96	159
97	158
98	157
99	136
100	136
101	150
102	109
103	137
104	121
105	143
106	138
107	131
108	143
109	139
110	131
111	116
112	113
113	107
114	136
115	91
116	123
117	129
118	126
119	112
120	115
121	100
122	104
123	111
124	121
125	117
126	105
127	101
128	81
129	94
130	114
131	99
132	86
133	94
134	88
135	74
136	92
137	111
138	98
139	89
140	82
141	88
142	92
143	85
144	57
145	99
146	82
147	70
148	78
149	94
150	93
151	91
152	102
153	72
154	81
155	63
156	87
157	68
158	76
159	82
160	69
161	88
162	70
163	91
164	71
165	77
166	76
167	89
168	80
169	89
170	106
171	76
172	79
173	83
174	82
175	83
176	90
177	100
178	79
179	87
180	78
181	85
182	75
183	64
184	65
185	84
186	80
187	96
188	86
189	74
190	76
191	92
192	95
193	83
194	82
195	74
196	78
197	88
198	102
199	80
200	86
201	89
202	86
203	83
204	92
205	97
206	75
207	96
208	82
209	80
210	79
211	81
212	81
213	86
214	69
215	58
216	72
217	78
218	70
219	92
220	77
221	83
222	84
223	83
224	76
225	68
226	73
227	71
228	72
229	95
230	82
231	50
232	59
233	58
234	64
235	62
236	63
237	85
238	72
239	73
240	64
241	71
242	63
243	61
244	56
245	63
246	66
247	50
248	59
249	48
