## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=vplots/Mz-3h.inserts.hist_graph.pdf HISTOGRAM_WIDTH=1000 INPUT=/srv/scratch/shared/nandi/projects/training-camp-2016/run/Mz-3h/out/align/rep1/Mz-3h_S10_L001_R1_001.trim.PE2SE.nodup.bam OUTPUT=vplots/Mz-3h.inserts.hist_data.log STOP_AFTER=5000000 VERBOSITY=ERROR QUIET=true    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Aug 29 10:08:59 PDT 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
129	71	24	1955	183.490989	153.22592	168539	FR	35	67	95	123	143	163	183	309	541	1177			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
24	1
26	35
27	29
28	64
29	92
30	149
31	60
32	49
33	56
34	75
35	156
36	331
37	480
38	669
39	834
40	1365
41	1355
42	1101
43	1170
44	1265
45	1460
46	1444
47	1360
48	1384
49	1381
50	1581
51	1722
52	1472
53	1361
54	1317
55	1333
56	1335
57	1347
58	1280
59	1234
60	1240
61	1334
62	1338
63	1177
64	1158
65	1200
66	1120
67	1174
68	1093
69	1087
70	1070
71	1052
72	1081
73	952
74	13
75	6
76	939
77	989
78	1031
79	975
80	912
81	885
82	921
83	880
84	896
85	852
86	832
87	844
88	807
89	806
90	796
91	810
92	797
93	729
94	749
95	846
96	816
97	751
98	768
99	685
100	673
101	698
102	701
103	660
104	648
105	703
106	691
107	654
108	619
109	617
110	556
111	623
112	581
113	597
114	596
115	600
116	571
117	581
118	577
119	539
120	505
121	475
122	526
123	540
124	531
125	533
126	535
127	496
128	511
129	498
130	491
131	487
132	458
133	417
134	406
135	452
136	433
137	458
138	501
139	507
140	471
141	471
142	437
143	385
144	378
145	378
146	363
147	368
148	380
149	406
150	468
151	474
152	495
153	437
154	374
155	386
156	382
157	367
158	434
159	403
160	414
161	416
162	360
163	352
164	354
165	344
166	379
167	377
168	396
169	394
170	369
171	403
172	370
173	324
174	351
175	400
176	366
177	419
178	411
179	415
180	366
181	374
182	365
183	358
184	346
185	347
186	358
187	389
188	351
189	382
190	405
191	352
192	368
193	367
194	387
195	390
196	416
197	383
198	387
199	367
200	337
201	361
202	355
203	356
204	323
205	378
206	428
207	371
208	351
209	366
210	338
211	382
212	346
213	381
214	325
215	350
216	334
217	360
218	399
219	378
220	337
221	311
222	326
223	311
224	301
225	326
226	327
227	321
228	305
229	305
230	303
231	306
232	279
233	288
234	316
235	277
236	265
237	278
238	273
239	260
240	299
241	277
242	244
243	283
244	240
245	253
246	240
247	219
248	217
249	226
250	269
251	219
252	234
253	201
254	220
255	245
256	226
257	247
258	239
259	207
260	199
261	204
262	199
263	215
264	213
265	203
266	188
267	221
268	182
269	228
270	197
271	194
272	188
273	166
274	199
275	184
276	191
277	185
278	163
279	158
280	179
281	188
282	184
283	214
284	168
285	160
286	176
287	224
288	157
289	160
290	165
291	151
292	176
293	154
294	147
295	155
296	157
297	155
298	177
299	177
300	170
301	153
302	165
303	157
304	167
305	165
306	157
307	140
308	160
309	165
310	124
311	162
312	154
313	156
314	180
315	149
316	157
317	152
318	164
319	169
320	144
321	161
322	175
323	121
324	138
325	167
326	149
327	150
328	141
329	153
330	151
331	183
332	159
333	155
334	157
335	173
336	150
337	135
338	155
339	118
340	142
341	147
342	143
343	157
344	147
345	147
346	152
347	128
348	148
349	153
350	143
351	136
352	131
353	149
354	142
355	144
356	145
357	154
358	147
359	130
360	136
361	165
362	148
363	166
364	134
365	139
366	140
367	138
368	133
369	134
370	114
371	137
372	150
373	111
374	110
375	134
376	111
377	141
378	119
379	99
380	118
381	123
382	120
383	114
384	122
385	116
386	137
387	121
388	96
389	124
390	124
391	117
392	107
393	111
394	124
395	101
396	91
397	92
398	105
399	110
400	127
401	85
402	96
403	128
404	102
405	100
406	99
407	76
408	82
409	100
410	102
411	89
412	73
413	99
414	91
415	85
416	82
417	121
418	107
419	91
420	88
421	103
422	95
423	94
424	72
425	87
426	93
427	73
428	95
429	83
430	74
431	88
432	75
433	81
434	92
435	85
436	80
437	74
438	100
439	70
440	67
441	74
442	71
443	78
444	75
445	87
446	68
447	73
448	70
449	68
450	68
451	81
452	81
453	67
454	82
455	78
456	51
457	60
458	89
459	71
460	65
461	81
462	73
463	56
464	61
465	68
466	79
467	86
468	83
469	76
470	72
471	49
472	74
473	63
474	63
475	66
476	64
477	70
478	57
479	61
480	68
481	50
482	69
483	57
484	55
485	63
486	56
487	53
488	62
489	55
490	70
491	58
492	54
493	71
494	66
495	82
496	72
497	66
498	54
499	56
500	67
501	60
502	68
503	63
504	50
505	54
506	60
507	60
508	65
509	51
510	49
511	65
512	56
513	49
514	64
515	62
516	45
517	71
518	62
519	67
520	52
521	49
522	59
523	56
524	55
525	66
526	53
527	51
528	58
529	49
530	42
531	53
532	66
533	47
534	45
535	59
536	39
537	58
538	55
539	45
540	48
541	56
542	49
543	56
544	49
545	58
546	44
547	35
548	52
549	58
550	51
551	42
552	45
553	51
554	54
555	45
556	40
557	51
558	35
559	41
560	42
561	32
562	46
563	39
564	42
565	48
566	52
567	29
568	43
569	41
570	34
571	36
572	51
573	38
574	43
575	36
576	41
577	40
578	46
579	37
580	37
581	29
582	45
583	31
584	41
585	38
586	37
587	36
588	36
589	32
590	38
591	26
592	29
593	35
594	35
595	39
596	31
597	38
598	36
599	32
600	28
601	33
602	44
603	40
604	27
605	46
606	35
607	30
608	34
609	33
610	30
611	32
612	30
613	22
614	29
615	36
616	37
617	20
618	35
619	24
620	21
621	14
622	22
623	23
624	27
625	20
626	24
627	37
628	20
629	19
630	30
631	24
632	26
633	29
634	25
635	37
636	31
637	29
638	22
639	22
640	24
641	28
642	16
643	27
644	27
645	17
646	24
647	28
648	24
649	24
650	23
651	27
652	23
653	24
654	22
655	21
656	23
657	15
658	27
659	21
660	19
661	19
662	25
663	19
664	19
665	22
666	21
667	31
668	19
669	29
670	20
671	18
672	19
673	20
674	19
675	28
676	29
677	24
678	28
679	24
680	22
681	27
682	19
683	17
684	15
685	23
686	19
687	12
688	30
689	20
690	15
691	13
692	26
693	16
694	16
695	17
696	18
697	20
698	16
699	17
700	16
701	14
702	16
703	25
704	12
705	21
706	18
707	20
708	16
709	20
710	19
711	19
712	17
713	14
714	22
715	10
716	14
717	18
718	18
719	8
720	16
721	14
722	26
723	18
724	14
725	12
726	12
727	18
728	16
729	18
730	12
731	15
732	14
733	17
734	15
735	7
736	8
737	14
738	8
739	16
740	10
741	13
742	5
743	9
744	15
745	9
746	12
747	13
748	8
749	12
750	10
751	10
752	12
753	9
754	14
755	11
756	5
757	13
758	5
759	11
760	5
761	7
762	13
763	15
764	12
765	8
766	7
767	10
768	11
769	10
770	14
771	9
772	3
773	13
774	11
775	13
776	9
777	8
778	11
779	7
780	9
781	10
782	9
783	6
784	6
785	4
786	5
787	11
788	9
789	12
790	13
791	4
792	4
793	8
794	13
795	8
796	9
797	9
798	4
799	3
800	8
801	9
802	8
803	6
804	11
805	7
806	4
807	8
808	6
809	8
810	5
811	7
812	9
813	12
814	7
815	7
816	8
817	8
818	4
819	8
820	8
821	12
822	2
823	2
824	4
825	3
826	6
827	5
828	4
829	14
830	5
831	7
832	7
833	7
834	4
835	5
836	5
837	4
838	5
839	3
840	3
841	6
842	4
843	4
844	3
845	3
846	9
847	11
848	4
849	5
850	3
851	8
852	5
853	5
854	8
855	4
856	3
857	7
858	5
859	4
860	5
861	7
862	4
863	4
864	3
865	2
866	2
867	5
868	4
869	9
870	9
871	6
872	5
873	2
874	3
875	6
876	9
877	2
878	2
879	4
880	3
881	2
882	4
883	8
884	2
885	1
886	3
887	5
888	3
889	2
890	5
891	2
892	2
893	4
894	1
895	5
896	2
897	1
898	2
899	3
900	2
901	2
902	3
903	3
904	1
905	5
906	6
907	5
909	2
910	3
911	1
912	3
913	2
914	4
915	2
916	5
918	2
919	2
920	2
921	6
922	3
923	1
924	3
925	4
926	2
927	4
928	3
929	2
931	3
932	1
933	2
934	2
935	1
936	3
937	10
939	2
940	4
942	1
944	3
945	4
946	1
947	1
948	1
949	2
950	1
951	3
952	1
954	3
955	2
956	2
957	3
958	4
959	2
960	4
962	1
963	1
964	3
965	3
966	1
967	4
968	3
969	1
970	2
971	1
972	2
973	2
975	4
976	1
977	2
978	2
979	2
980	2
982	3
983	1
984	1
985	3
987	2
988	2
990	1
993	1
994	1
996	3
998	2
1000	2

